Name,Age,Job,Salary
Kevin Sanders,29,Software Engineer,7300
Lisa Mills,31,High School Teacher,6100
Donna Allison,32,Dentist,12700
Michael Schmitt,48,Dentist,17500
Lisa Shaffer,36,Accountant,7400
Jeffrey Heath,30,Dentist,11600
Joanne Perez,57,Software Engineer,17200
Jeffrey Wilson,61,Dentist,20400
Maria Moreno,30,Software Engineer,10100
Frank Gutierrez,51,Accountant,12400
George Diaz,37,Software Engineer,10700
Susan Smith,69,Accountant,17300
Scott Smith,64,Dentist,21800
Justin Patel,42,Dentist,14700
Paul Marquez,37,High School Teacher,8700
Michael Bennett,37,Accountant,8200
Kenneth Curtis PhD,65,Software Engineer,19100
Connor Harris,44,High School Teacher,8800
Richard Villarreal,62,Software Engineer,19200
Michael Conner,37,Accountant,7700
Patricia Perkins,46,Dentist,15900
Erika Wheeler,68,High School Teacher,18500
Jared Gray,29,High School Teacher,6800
Aaron Kim MD,43,Dentist,14700
Michelle Hernandez,45,Accountant,12600
Peter Miller,45,Software Engineer,14600
Amber Craig,50,Dentist,17600
Tina Wood,67,Dentist,20700
Christopher Ramirez,42,Accountant,10200
Kent Ramirez,41,High School Teacher,9900
Sean Jones,47,Software Engineer,13200
Deanna Hubbard,63,High School Teacher,16500
Tina Townsend,50,Dentist,16100
Philip Costa,28,Accountant,6500
Kelly Williams,70,High School Teacher,17100
David Bowen,38,Dentist,13200
Justin Walton,36,Accountant,9900
Monica Owen,49,Accountant,12300
Adriana Stanley,43,Accountant,10500
Samantha Scott,47,High School Teacher,10900
Anthony Cole,66,Accountant,17900
Raymond Aguilar,40,Accountant,9600
Gerald Davis,63,Accountant,17000
Steve Jackson,54,Software Engineer,15800
Laura Potter,36,High School Teacher,7400
James Taylor,33,High School Teacher,6700
James Moreno,51,Dentist,18400
James Grant,68,High School Teacher,18500
Samuel Smith,68,High School Teacher,16000
Miguel Smith,50,Dentist,18100
Alex Taylor,64,Dentist,21000
Natasha Burch,65,Accountant,17100
Sheryl Butler,70,Software Engineer,21600
Tina Johnson,51,Dentist,16400
Elizabeth Gonzales,52,Dentist,17700
Jessica Mccall,38,Accountant,9200
Brittany Bray,54,High School Teacher,12300
Michael Flores,66,Accountant,16400
Dana White,43,Dentist,14000
Michael Sanders,46,Accountant,11900
Susan Klein,41,Dentist,15400
Denise Miller,57,Software Engineer,15700
Cassandra Malone,38,Accountant,9000
Linda Lewis,45,Accountant,11300
Ronald Walsh,51,Software Engineer,16400
Juan Stone,57,Accountant,14200
Margaret Garcia,29,Dentist,10800
Daniel Morrow,55,Software Engineer,15100
Aaron Newman,59,Software Engineer,18300
David Jones,50,Dentist,16100
Kendra Noble,59,High School Teacher,14300
Jack Rivas,41,Accountant,9900
Courtney Wright,43,High School Teacher,8500
Jennifer Smith,43,High School Teacher,9500
Timothy Jimenez,55,High School Teacher,13100
James Miller,33,High School Teacher,5500
Brenda Henderson,58,Software Engineer,18500
Dominic Williams,38,High School Teacher,8000
Stephen Mcmillan,39,Software Engineer,10300
Victoria Melton,50,Dentist,17600
Christina Walker,29,Software Engineer,9800
Nicholas Smith,44,Software Engineer,11800
Mary Dickerson,57,Software Engineer,16900
Scott West,54,Software Engineer,16300
Stephen Johnson,40,High School Teacher,8800
Krista Gilmore,60,High School Teacher,14600
Angela Hughes,41,High School Teacher,9400
Mr. Brandon Delacruz,51,Dentist,15900
Allen Berger,60,Dentist,18600
Stephanie Reed,32,Dentist,10700
Taylor Anderson,44,Accountant,10300
Benjamin Spencer,30,Dentist,10100
Paul King,69,Dentist,22800
Jennifer Baker,63,High School Teacher,14500
Seth Graham,54,Dentist,17800
Jennifer Gill,65,Accountant,16600
Nathan Martinez,62,Software Engineer,17700
Ashley Schneider MD,30,Dentist,9600
Ryan Levy,32,High School Teacher,7700
Gerald Diaz,57,Accountant,13700
Jared Wood,45,Software Engineer,13600
Michael Coleman,59,High School Teacher,14800
Matthew Lewis,39,High School Teacher,8800
Michael Johnson,57,Dentist,18900
Tina Freeman,51,Dentist,17100
Jesse Waters,64,Dentist,21300
Stephanie Carrillo,68,High School Teacher,17200
Michelle Edwards,53,Accountant,15000
Robert Silva,56,Accountant,14900
Scott Williams,62,Accountant,17700
Brittney Stephens,30,High School Teacher,4600
Lori Smith,34,Software Engineer,8800
Angel Hernandez,55,Software Engineer,17100
Timothy Lee,65,Accountant,16100
Sarah Mathis,32,Software Engineer,9400
Katherine James,53,Dentist,18000
Joshua Villanueva,46,Accountant,11400
Angel Osborne,46,Accountant,10400
Scott Anderson,59,High School Teacher,13300
Matthew Martin,60,High School Teacher,16100
Jennifer Davis,45,Software Engineer,14600
Robert Spears,65,Accountant,17300
Traci Mcintosh,46,Dentist,15600
Jason Hays,54,Accountant,12800
Teresa Rivera,53,High School Teacher,12700
Christopher Ramirez,38,High School Teacher,7500
John Hall,52,Software Engineer,15400
Isaac Spence,30,Software Engineer,10100
Natalie Lambert,39,High School Teacher,9300
Ryan Armstrong,69,Accountant,17300
Scott Wheeler,36,Accountant,8900
Cody Joseph,65,Accountant,18600
Charles Marks,34,Software Engineer,9300
Nathan Alexander,60,High School Teacher,14800
Kenneth Barrett,53,Accountant,13700
Scott Brown,45,High School Teacher,11100
Lisa Nguyen,61,High School Teacher,13900
Michelle Cooper,66,Accountant,16400
Ruth Miller,49,High School Teacher,11800
John Fuller,49,Accountant,12500
Wendy Orozco,39,Software Engineer,10300
Luis Gordon,39,Accountant,10800
Cassandra Rivera,52,Software Engineer,16200
Stephanie Estes,41,Accountant,11400
Lisa Davis,48,Accountant,13000
Lisa Tucker DDS,68,Dentist,22000
Nathan Stanton,59,Dentist,20300
Laura Cabrera,59,Dentist,18300
Joseph Lewis,32,Dentist,12200
Zachary Hughes,37,Accountant,7700
Emily Reynolds,52,Accountant,13700
Julie Henry,40,Software Engineer,11800
Kimberly Murillo,34,Dentist,11300
Julia Evans,36,Accountant,7400
Tammy Brown,58,High School Teacher,13000
Catherine Sanders,53,Accountant,13700
Michael Rojas,70,Dentist,22100
Frank Medina,62,Accountant,17200
James King,29,Accountant,7800
Tonya Perez,42,Accountant,10700
Jennifer Cruz,53,High School Teacher,11500
Sara Savage,50,Software Engineer,14800
Jeffery Diaz,51,Dentist,16400
Lawrence Jackson,30,Software Engineer,7600
John Rodriguez,62,Software Engineer,17200
Michael Thompson,38,Dentist,14000
Omar Flores,30,Software Engineer,8100
Victoria Fox,56,High School Teacher,13900
Robert Clark,44,Software Engineer,11800
Ashley Watson,64,Dentist,19800
Edward Ray Jr.,32,Dentist,11700
Joshua Lane,59,Dentist,19500
Jordan Decker,34,Dentist,10800
Kaitlyn Nguyen,29,Accountant,5300
George Hart,65,Dentist,21600
Erika Rosales,54,Software Engineer,15800
Brooke Morgan,63,High School Teacher,15000
Kelly Ball,66,High School Teacher,17400
Troy Jones,38,Dentist,14000
Mark Harrell,34,Dentist,11800
Peter Hicks,60,Dentist,19100
Brian Barrett,45,High School Teacher,10600
Brittany Spencer,54,Software Engineer,16300
Kevin Carroll,32,Software Engineer,9400
Sarah Williams,47,High School Teacher,11700
Shaun Kim,67,Software Engineer,19700
Jeremy Wilson,32,Software Engineer,8200
William Lambert,31,High School Teacher,5400
April Lawrence,40,Software Engineer,12600
Curtis May,66,High School Teacher,17400
Joseph Whitaker,59,Dentist,19800
Derek Campbell,32,Dentist,10200
Michael Brown,60,High School Teacher,15100
Bobby Daniels,39,Software Engineer,11800
Anthony Jones,36,Software Engineer,10900
Zachary Brown,47,Accountant,12700
Mario Douglas,59,Software Engineer,16800
Daniel Cook,29,High School Teacher,6800
Jeffrey Baldwin,31,Dentist,11100
Michael Lee,58,Dentist,19500
Patricia Williams,40,Dentist,13800
Shannon Brown,30,Software Engineer,8800
Wendy Bonilla,28,Software Engineer,9000
Daniel Davis,46,High School Teacher,10600
Dr. Cathy Bradley,32,High School Teacher,5700
Timothy Perez,41,High School Teacher,10400
Cassandra White,55,Dentist,19100
Michael Williams,46,Software Engineer,12400
Donald Hawkins,62,Software Engineer,18700
Michael Haynes,31,Software Engineer,7900
Joseph Bruce,60,Accountant,15800
Kyle Holmes,58,Accountant,15000
Eric Martin,65,Software Engineer,19300
Julia Figueroa,47,Software Engineer,15200
Jacqueline Scott,55,Accountant,14600
Kelly Pittman,54,High School Teacher,13000
Sandra Robinson,47,Software Engineer,14700
Jeffrey Hill,67,Dentist,21900
Katherine Smith,44,Software Engineer,11800
David Murphy,41,High School Teacher,8900
Caitlin Berger,70,Accountant,18600
Anna Austin,35,Software Engineer,10100
John Moore,43,Software Engineer,12500
Tyler Ramos,54,Dentist,18300
Christopher Ramos,50,Dentist,16100
Michele Fischer,64,Accountant,18300
Alexandra Green,69,Dentist,22300
Steven Martinez,30,Accountant,5600
David Dean,54,High School Teacher,13000
Jordan Fernandez,33,Software Engineer,10000
Michael Mosley,39,Accountant,8300
Jennifer Mccall,40,Software Engineer,11600
Patricia Murphy,28,Accountant,7500
Todd Holland,59,Dentist,19300
Daniel Fernandez,53,Accountant,12500
Craig Perry,40,Dentist,12600
Charles James,57,Dentist,19700
David Cole,62,Software Engineer,19700
Jennifer Floyd,54,Dentist,17800
Thomas Grant,41,Software Engineer,10900
Eric Morales,68,Accountant,17000
Brent Smith,56,Dentist,19400
Sabrina Mitchell,32,Software Engineer,8700
Ronald Kaiser,61,Accountant,15400
Dawn Saunders,39,Software Engineer,11800
Dennis Duncan,45,High School Teacher,10100
Emily Adams,49,High School Teacher,10800
Joseph Stuart,62,Dentist,20700
John Koch,48,High School Teacher,11500
Brandi Kelley,34,Accountant,8800
Andrew Jones,39,Accountant,10300
Amanda Brown,41,Dentist,14400
Debra West,63,Software Engineer,18000
Jasmine Smith,40,Software Engineer,11600
Amy Richards,61,Accountant,16400
Nathaniel Murphy,38,Dentist,13000
Kathleen Reed,46,High School Teacher,10400
George Smith,37,Software Engineer,11700
Sabrina Chavez,42,Dentist,14200
Valerie Martinez,38,High School Teacher,9500
Michelle Walker,44,High School Teacher,10800
Lori Beasley,49,High School Teacher,12300
Jacob Moran,70,Dentist,24100
James Cobb,60,Software Engineer,16600
Anna Smith,32,High School Teacher,6400
Clayton Logan,40,Accountant,10600
Robert Harrison,51,Dentist,16900
Ryan Fry,64,Software Engineer,19000
Brooke Thomas,28,Software Engineer,8500
Shane Clark,55,High School Teacher,13100
Jaime Caldwell,59,Accountant,15800
Marc Chavez,66,Dentist,20400
Larry Thomas,41,High School Teacher,8900
Donald Yates,63,Dentist,22000
Angela Smith,34,Software Engineer,9300
John Wright PhD,33,Accountant,9000
Michael Brooks,54,Accountant,12800
Anna Snow,33,Dentist,12500
Allison Peterson,54,Dentist,18000
Amanda Vargas,52,Software Engineer,14200
Sara Taylor,32,Accountant,8700
Jason Reeves,70,High School Teacher,19100
Kristin Hart,32,Accountant,8700
Christina Clark,32,High School Teacher,7700
Bailey Reyes,60,Software Engineer,17800
Tyler Jordan,43,Accountant,10700
Dana Washington,57,Software Engineer,16200
Jay Brooks,30,Accountant,6100
Kirsten Hampton,60,High School Teacher,14800
Bruce Arias,44,High School Teacher,10300
Christopher Parks,43,High School Teacher,9500
Gerald Tucker,29,Accountant,7300
Elizabeth Buchanan,70,Dentist,23100
Peter Scott,28,Dentist,9500
John Bell,68,Accountant,19500
Michelle Brown,56,Dentist,18400
Zachary Taylor,69,Dentist,22500
Henry Ward,29,Software Engineer,8500
Logan Rogers,29,Software Engineer,8500
Alyssa Mitchell,69,Software Engineer,21300
John Terry,56,High School Teacher,13400
Nicole Kline,57,High School Teacher,13900
Thomas Schwartz,35,Dentist,12100
Jenna Clark,57,High School Teacher,13900
Alex Bauer,66,Accountant,16400
Christopher Huff,58,Accountant,16000
Anita Butler,54,Dentist,17300
Jason Schultz,43,High School Teacher,8500
Darryl Ruiz,50,Accountant,12600
Theresa Wheeler,68,Accountant,17000
Brittany Fisher,30,High School Teacher,5800
Denise Torres,61,Software Engineer,17400
Troy Gutierrez,43,High School Teacher,9000
Kathleen Mendez,41,Accountant,10900
Amy Donovan,69,High School Teacher,18800
